0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,
Número,DATA,Placar,TIME_MANDANTE,PLACAR_MANDANTE,GOLS_MANDANTE,GOLS_PENALTI_MANDANTE,PLACAR2,TIME_VISITANTE,PLACAR_VISITANTE,GOLS_VISITANTE,GOLS_PENALTI_VISITANTE,RODADA,PUBLICO,CAMPEONATO_ID,CAMPEONATO_DESCRICAO,ESTADIO,SEM_TORCIDA,Gols,OBS,OBS2,
372,28/08/2008,Grêmio 2 x 2 Internacional,Grêmio,2,2,, 2 x 2 ,Internacional,2,2,,2ª Eliminatória,23960,2008_CSA,Copa Sul-Americana,Olímpico,,Nilmar e Índio (I); Edixon Perea e Soares (G).,Inter garantiu a classificação à fase seguinte da competição.,2a fase sula,
371,13/08/2008,Internacional 1 x 1 Grêmio,Internacional,1,1,, 1 x 1 ,Grêmio,1,1,,2ª Eliminatória,28921,2008_CSA,Sul-Americana,Beira-Rio,,Daniel Carvalho (I); Léo (G).,,2a fase sula,
370,29/06/2008,Grêmio 1 x 1 Internacional,Grêmio,1,1,, 1 x 1 ,Internacional,1,1,,,42888,2008_BR,Brasileiro,Olímpico,,Índio (I); Roger (G).,,,
369,16/09/2007,Grêmio 1 x 0 Internacional,Grêmio,1,1,, 1 x 0 ,Internacional,0,0,,,,2007_BR,Campeonato Brasileiro,Olímpico,,Léo.,,,
368,24/06/2007,Internacional 0 x 2 Grêmio,Internacional,0,0,, 0 x 2 ,Grêmio,2,2,,,,2007_BR,Brasileiro,Beira-Rio,,Lúcio e Diego Souza.,Inter perde o clássico depois de três anos.,,
367,05/11/2006,Grêmio 0 x 1 Internacional,Grêmio,0,0,, 0 x 1 ,Internacional,1,1,,,,2006_BR,Brasileiro,Olímpico,,Iarley.,Último clássico antes da disputa do Mundial Interclubes no Japão.,,
366,30/07/2006,Internacional 0 x 0 Grêmio,Internacional,0,0,, 0 x 0 ,Grêmio,0,0,,,33251,2006_BR,Brasileiro,Beira-Rio,,,,,
365,09/04/2006,Internacional 1 x 1 Grêmio,Internacional,1,1,, 1 x 1 ,Grêmio,1,1,,,,2006_RS,Campeonato Gaúcho,Beira-Rio,,Fernandão (I); Pedro Júnior (G).,Grêmio campeão 2006,,
364,1º/04/2006,Grêmio 0 x 0 Internacional,Grêmio,0,0,, 0 x 0 ,Internacional,0,0,,,,2006_RS,Campeonato Gaúcho,Olímpico,,,,,
363,23/10/2004,Grêmio 1 x 3 Internacional,Grêmio,1,1,, 1 x 3 ,Internacional,3,3,,,,2004_BR,Campeonato Brasileiro,Olímpico,,"Diego, Fernandão e Rodrigo Paulista (I); Anderson (G).",Inter iguala 1947 com cinco vitórias em uma mesma temporada.,,
362,22/09/2004,Grêmio 2 x 1 Internacional,Grêmio,2,2,, 2 x 1 ,Internacional,1,1,,,,2004_CSA,Copa do Sul Americana,Olímpico,,Chiquinho (I); Cláudio Pitbull (G) e Roberto Santos (G).,,,
361,15/09/2004,Internacional 2 x 0 Grêmio,Internacional,2,2,, 2 x 0 ,Grêmio,0,0,,,,2004_CSA,Copa do Sul Americana,Beira-Rio,,Fernandão e Chiquinho.,Primeiro Gre-Nal em competição Internacional,,
360,10/07/2004,Internacional 2 x 0 Grêmio,Internacional,2,2,, 2 x 0 ,Grêmio,0,0,,,,2004_BR,Campeonato Brasileiro,Beira-Rio,,Vinicius e Fernandão.,Gre-Nal do Gol 1.000 de Fernandão,,
359,04/04/2004,Grêmio 1 x 2 Internacional,Grêmio,1,1,, 1 x 2 ,Internacional,2,2,,,,2004_RS,Campeonato Gaúcho,Montanha dos Vinhedos – Bento Gonçalves,,Luciano Ratinho (G); Edinho e Nilmar (I).,Taça Bento Gonçalves – inauguração do novo estádio do Esportivo – 95 anos Internacional – Gol de Nilmar na prorrogação,,
358,07/03/2004,Grêmio 1 x 2 Internacional,Grêmio,1,1,, 1 x 2 ,Internacional,2,2,,,,2004_RS,Campeonato Gaúcho,Olímpico,,Élder Granja e Nilmar (I); Christian (G).,,,
357,15/02/2004,Internacional 1 x 1 Grêmio,Internacional,1,1,, 1 x 1 ,Grêmio,1,1,,,,2004_RS,Campeonato Gaúcho,Beira-Rio,,Christian (G); Élder Granja (I).,,,
356,12/10/2003,Internacional 0 x 1 Grêmio,Internacional,0,0,, 0 x 1 ,Grêmio,1,1,,,,2003_BR,Campeonato Brasileiro,Beira-Rio,,Christian (G).,,,
355,15/06/2003,Grêmio 0 x 0 Internacional,Grêmio,0,0,, 0 x 0 ,Internacional,0,0,,,30481,2003_BR,Campeonato Brasileiro,Olímpico,,,,,
354,09/03/2003,Internacional 1 x 0 Grêmio,Internacional,1,1,, 1 x 0 ,Grêmio,0,0,,,,2003_RS,Campeonato Gaúcho,Beira-Rio,,André (I).,Estréia de Christian no Grêmio,,
353,09/02/2003,Grêmio 1 x 2 Internacional,Grêmio,1,1,, 1 x 2 ,Internacional,2,2,,,,2003_RS,Campeonato Gaúcho,Olímpico,,Luis Mario (G); Vinicius e Daniel Carvalho (I).,,,
352,26/10/2002,Internacional 0 x 1 Grêmio,Internacional,0,0,, 0 x 1 ,Grêmio,1,1,,,,2002_BR,Campeonato Brasileiro,Beira-Rio,,Rodrigo Mendes (G).,,,
